Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (CAD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Operating Temperature,Features,Ratings,Applications,Failure Rate,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Lead Style
http://www.kemet.com/docfinder?Partnumber=C0603C390F5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7909-1-ND,C0603C390F5GACTU,KEMET,CAP CER 39PF 50V C0G/NP0 0603,5920,0,1.23,0,1,Cut Tape (CT),C,Active,39pF,1%,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C151F5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7855-1-ND,C0603C151F5GACTU,KEMET,CAP CER 150PF 50V C0G/NP0 0603,7019,0,1.23,0,1,Cut Tape (CT),C,Active,150pF,1%,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C220F1GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-11145-1-ND,C0603C220F1GACTU,KEMET,CAP CER 22PF 100V C0G/NP0 0603,17032,0,1.29,0,1,Cut Tape (CT),C,Active,22pF,1%,100V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C181F1GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-11142-1-ND,C0603C181F1GACTU,KEMET,CAP CER 180PF 100V C0G/NP0 0603,16444,0,1.41,0,1,Cut Tape (CT),C,Active,180pF,1%,100V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C471K2RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9085-1-ND,C0603C471K2RACTU,KEMET,CAP CER 470PF 200V X7R 0603,12289,0,0.32,0,1,Cut Tape (CT),C,Active,470pF,10%,200V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C105M8PACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-8992-1-ND,C0603C105M8PACTU,KEMET,CAP CER 1UF 10V X5R 0603,13293,0,0.35,0,1,Cut Tape (CT),C,Active,1uF,20%,10V,X5R,-55°C ~ 85°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C563K3RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9108-1-ND,C0603C563K3RACTU,KEMET,CAP CER 0.056UF 25V X7R 0603,14398,0,0.38,0,1,Cut Tape (CT),C,Active,0.056uF,10%,25V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C105M9PACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7849-1-ND,C0603C105M9PACTU,KEMET,CAP CER 1UF 6.3V X5R 0603,9341,0,0.4,0,1,Cut Tape (CT),C,Active,1uF,20%,6.3V,X5R,-55°C ~ 85°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C390K5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9073-1-ND,C0603C390K5GACTU,KEMET,CAP CER 39PF 50V C0G/NP0 0603,8711,0,0.4,0,1,Cut Tape (CT),C,Active,39pF,10%,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C223M3RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9044-1-ND,C0603C223M3RACTU,KEMET,CAP CER 0.022UF 25V X7R 0603,4521,0,0.4,0,1,Cut Tape (CT),C,Active,0.022uF,20%,25V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C339D5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9071-1-ND,C0603C339D5GACTU,KEMET,CAP CER 3.3PF 50V C0G/NP0 0603,12333,0,0.41,0,1,Cut Tape (CT),C,Active,3.3pF,0.5pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C129D5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9001-1-ND,C0603C129D5GACTU,KEMET,CAP CER 1.2PF 50V C0G/NP0 0603,10230,0,0.41,0,1,Cut Tape (CT),C,Active,1.2pF,0.5pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C109D5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-8993-1-ND,C0603C109D5GACTU,KEMET,CAP CER 1PF 50V C0G/NP0 0603,4576,0,0.41,0,1,Cut Tape (CT),C,Active,1pF,0.5pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C159D5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9016-1-ND,C0603C159D5GACTU,KEMET,CAP CER 1.5PF 50V C0G/NP0 0603,4655,0,0.41,0,1,Cut Tape (CT),C,Active,1.5pF,0.5pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C183K4RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9026-1-ND,C0603C183K4RACTU,KEMET,CAP CER 0.018UF 16V X7R 0603,7000,0,0.41,0,1,Cut Tape (CT),C,Active,0.018uF,10%,16V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C229D5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9049-1-ND,C0603C229D5GACTU,KEMET,CAP CER 2.2PF 50V C0G/NP0 0603,4768,0,0.41,0,1,Cut Tape (CT),C,Active,2.2pF,0.5pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C279D5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9056-1-ND,C0603C279D5GACTU,KEMET,CAP CER 2.7PF 50V C0G/NP0 0603,7990,0,0.41,0,1,Cut Tape (CT),C,Active,2.7pF,0.5pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C399D5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9081-1-ND,C0603C399D5GACTU,KEMET,CAP CER 3.9PF 50V C0G/NP0 0603,6608,0,0.41,0,1,Cut Tape (CT),C,Active,3.9pF,0.5pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C569D5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9110-1-ND,C0603C569D5GACTU,KEMET,CAP CER 5.6PF 50V C0G/NP0 0603,10188,0,0.41,0,1,Cut Tape (CT),C,Active,5.6pF,0.5pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C153K4RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-10045-1-ND,C0603C153K4RACTU,KEMET,CAP CER 0.015UF 16V X7R 0603,6611,0,0.41,0,1,Cut Tape (CT),C,Active,0.015uF,10%,16V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C181K5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9021-1-ND,C0603C181K5GACTU,KEMET,CAP CER 180PF 50V C0G/NP0 0603,8355,0,0.34,0,1,Cut Tape (CT),C,Active,180pF,10%,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C273K4RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-10046-1-ND,C0603C273K4RACTU,KEMET,CAP CER 0.027UF 16V X7R 0603,10628,0,0.35,0,1,Cut Tape (CT),C,Active,0.027uF,10%,16V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C100K1GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-8978-1-ND,C0603C100K1GACTU,KEMET,CAP CER 10PF 100V C0G/NP0 0603,5105,0,0.35,0,1,Cut Tape (CT),C,Active,10pF,10%,100V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C120K1GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-8995-1-ND,C0603C120K1GACTU,KEMET,CAP CER 12PF 100V C0G/NP0 0603,5204,0,0.35,0,1,Cut Tape (CT),C,Active,12pF,10%,100V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C221M5RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-1070-1-ND,C0603C221M5RACTU,KEMET,CAP CER 220PF 50V X7R 0603,7097,0,0.38,0,1,Cut Tape (CT),C,Active,220pF,20%,50V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C334K8PACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-3112-1-ND,C0603C334K8PACTU,KEMET,CAP CER 0.33UF 10V X5R 0603,8257,0,0.37,0,1,Cut Tape (CT),C,Active,0.33uF,10%,10V,X5R,-55°C ~ 85°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C150J1GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7853-1-ND,C0603C150J1GACTU,KEMET,CAP CER 15PF 100V C0G/NP0 0603,49277,0,0.37,0,1,Cut Tape (CT),C,Active,15pF,5%,100V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C180J1GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7865-1-ND,C0603C180J1GACTU,KEMET,CAP CER 18PF 100V C0G/NP0 0603,4218,0,0.37,0,1,Cut Tape (CT),C,Active,18pF,5%,100V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
